Category,Name,Image,Website,Offer,Details,Districts
Chinese,Dragon Delight,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2019-08/logo-jpg.jpg?itok=IeqRoDs9,http://www.diningdiscount.hk/en/restaurant/46,提供全單七折、套餐七折或個別食品七折優惠予四人一枱，四人均已接種疫苗的顧客。,"所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。, 優惠並不適用於參與商戶之特定日期（如適用）。
詳情請向參與商戶查詢。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。","['Eastern', 'Kwun Tong', 'Sha Tin', 'Tai Po']"
Chinese,Shanghai Lane,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2019-08/shanghai%20lane%20new.jpg?itok=vAIKROiN,http://www.diningdiscount.hk/en/restaurant/47,套餐七折優惠予四人一枱，四人均已接種疫苗的顧客。,"所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
如指定之優惠產品售完，參與商戶將提供其他等值或更高價值的優惠。
優惠使用者必須以電子貨幣支付方可享有優惠（如適用）。
恕不接受八達通支付及現金付款（如適用）。
優惠並不適用於參與商戶之特定日期（如適用）。詳情請向參與商戶查詢。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。","['Central and Western', 'Eastern', 'Wan Chai']"
Chinese,Lamma Rainbow Seafood Restaurant,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/Rainbow%20Logo_300x300%20-%20Lamma%20Rainbow.png?itok=yo2GxFO6,http://www.diningdiscount.hk/en/restaurant/148,指定套餐七折優惠,"1.Limited promotion period, menu items may change without advance notice

2. No changes on the menu is allowed",['Islands']
Chinese,Moon Lok Chinese Restaurant,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/MLCR%20-%20Mavis%20Yeong.jpg?itok=9YZbyAhl,http://www.diningdiscount.hk/en/restaurant/410,提供優惠套餐,"本優惠適用於已接種疫苗的顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠並不適用於參與商戶之特定日期（如適用）。
詳情請向參與商戶查詢。 如有任何爭議，參與商戶保留最終決定權。",['Yau Tsim Mong']
Chinese,Kwan Cheuk Heen (Grand Hong Kong),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-06/300x300%20HGHK%20PNG%20-%20Becky%20Momo_0.PNG?itok=aewu2bEP,http://www.diningdiscount.hk/en/restaurant/350,"30% discount on Chinese Set Lunch & Dinner from Monday - Friday 
Above offer not applicable on public holiday","Offers are eligible for vaccinated customers.
Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers are available on a first-come-first-served basis while stocks last.
Offers may not be valid on blackout dates of participating merchants if applicable. Please check with participating merchants for details.
Customers are required to quote the offers upon order/purchase at participating merchants in order to enjoy the offer.
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.
10% service charge applies on dining offers and will be calculated based on original price if applicable.
Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.
In case of any disputes, the decision of the participating merchant shall remain final.
In case of any discrepancies of the offer terms and conditions between English and Chinese versions, English version shall prevail.",['Eastern']
Chinese,Chiu Garden,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/Logo%28CS%29_NewTagLine_Outline-202106_%E6%BD%AE%E6%82%85%20-%20Woo%20Uta.png?itok=zuChm2Ge,http://www.diningdiscount.hk/en/restaurant/432,7折購買現金消費券,"本優惠適用於已接種疫苗之顧客。
本優惠將於2021年7月19日發售
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
如有任何爭議，參與商戶保留最終決定權。",['Yau Tsim Mong']
Chinese,Victoria Harbour Roasted Goose Seafood Restaurant,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2019-08/%E6%B5%B7%E6%B8%AF%E7%87%92%E9%B5%9D.jpg?itok=CeoBpdTX,http://www.diningdiscount.hk/en/restaurant/31,"7折套餐
 ","本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
如有任何爭議，參與商戶保留最終決定權。","['Kwai Tsing', 'Sha Tin', 'Tuen Mun']"
Chinese,Victoria Harbour Restaurant,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2019-08/%E6%B5%B7%E6%B8%AF%E9%85%92%E5%AE%B6.jpg?itok=LfrPEQ_T,http://www.diningdiscount.hk/en/restaurant/27,"7折套餐
 ","本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
如有任何爭議，參與商戶保留最終決定權。","['Central and Western', 'Kowloon City', 'Kwun Tong', 'Yau Tsim Mong', 'North', 'Sai Kung', 'Tai Po', 'Tsuen Wan', 'Tuen Mun', 'Yuen Long']"
Cantonese,Dragon Seal Restaurant & Bar,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-07/dragon%20seal%20logo.jpg?itok=0ZFJhPXM,http://www.diningdiscount.hk/en/restaurant/261,提供套餐七折,"本優惠適用於已接種疫苗顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。優惠數量有限，先到先得。
如指定之優惠產品售完，參與商戶將提供其他等值或更高價值的優惠。
優惠並不適用於參與商戶之特定日期（如適用）。詳情請向參與商戶查詢。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。 優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。",['Yau Tsim Mong']
Cantonese,The Chinese Restaurant (Hyatt Regency Hong Kong Tsim Sha Tsui),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-06/Property%20Align%20left_Chi_RGB%20-%20Hyatt%20TST_0.png?itok=-_c4EHyR,http://www.diningdiscount.hk/en/restaurant/378,"During weekday, enjoy 30% off on dinner consumption at  The Chinese Restaurant ","1.    The offer is valid from 7 July to 31 August 2021, Monday through Friday at The Chinese Restaurant; and Monday through Thursday at Cafe.
2.    30% off on food and beverage consumption during dinner at The Chinese Restaurant and dinner buffet at Cafe.
3.    Applicable to a table of 4 guests during dinner period, all guests are required to take the first COVID19 jab. 
4.    Advance reservation is required and subject to availability.
5.    Quotas apply.  Offer is available on a first-come-first-served basis while stocks last.
6.    Customer will receive a confirmation within 24 hours. For enquiry, please contact the restaurant at +852 3721 7700.
7.    Hyatt Regency Hong Kong, Tsim Sha Tsui reserves the right to amend or cancel the promotion details, the number of quota and any of its terms and conditions, without prior notice.
8.    In case of any disputes, the decision of Hyatt Regency Hong Kong, Tsim Sha Tsui shall be final.
9.    General terms and conditions apply, please check with merchant for details.",['Yau Tsim Mong']
Cantonese,Dimpot,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/O21TX523_Dimpot_CroppedImage_%E9%A4%90%E9%A3%B2%E8%81%AF-01%20-%20Flora%20Ng.png?itok=5GQ3M7Lh,http://www.diningdiscount.hk/en/restaurant/430,指定套餐七折,"本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
如有任何爭議，參與商戶保留最終決定權。","['Eastern', 'Sha Tin', 'Tuen Mun']"
Cantonese,Jolly Garden,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/Logo%28CS%29_NewTagLine_Outline-202106_%E5%B0%9A%E6%82%85%E8%BB%92%20-%20Woo%20Uta.png?itok=97u0sHM6,http://www.diningdiscount.hk/en/restaurant/433,七折購買現金消費券,"本優惠適用於已接種疫苗之顧客。
本優惠將於2021年7月19日發售
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
如有任何爭議，參與商戶保留最終決定權。",['Yau Tsim Mong']
Cantonese,Hoi King Heen ,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/InterContinental%20Grand%20Stanford%20Hong%20Kong%20logo%20-%20Peggy%20Cheng.jpg?itok=hHLa3CM5,http://www.diningdiscount.hk/en/restaurant/437,海景軒午市及晚市食品七折 (星期一至四),"本優惠適用於已接種疫苗之顧客。,
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。,
優惠並不適用於參與商戶之特定日期（如適用）。詳情請向參與商戶查詢。,
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。,
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。,
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。,
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。,
如有任何爭議，參與商戶保留最終決定權。",['Yau Tsim Mong']
Cantonese,Tsui Woo Seafood Restaurant,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2019-10/%C3%A7%C2%BF%C2%A0%C3%A6%C2%B9%C2%96LOGO.JPG?itok=BPdIRwfH,http://www.diningdiscount.hk/en/restaurant/134,特定套餐7折，川味沙薑豬手7折價68元,"本優惠適用於已接種疫苗的顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。 如指定之優惠產品售完，參與商戶將提供其他等值或更高價值的優惠。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
如有任何爭議，參與商戶保留最終決定權。",['Eastern']
Cantonese,Regal Court  (Regal Riverside Hotel),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-06/hotel%20logo_mid%20high%20res%20-%20Kammy%20Lui%20%281%29_3.jpg?itok=vHPLGC2Q,http://www.diningdiscount.hk/en/restaurant/386,July 30% off for food (except promotional items),"Offers are eligible for vaccinated customers.
Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers may not be valid on blackout dates of participating merchants if applicable. Please check with participating merchants for details.
Customers are required to quote the offers upon order/purchase at participating merchants in order to enjoy the offer.
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.
10% service charge applies on dining offers and will be calculated based on original price if applicable.
Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.
In case of any disputes, the decision of the participating merchant shall remain final.",['Sha Tin']
Cantonese,Star of Canton,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-07/Star%20of%20Canton%20Logo%20-%20Josephine%20Chan.jpg?itok=09ub4v4q,http://www.diningdiscount.hk/en/restaurant/211,套餐七折,"本優惠適用於已接種疫苗之顧客。 
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。 
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。 
優惠數量有限，先到先得。 
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。 
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。 
如有任何爭議，參與商戶保留最終決定權。 
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。
 ","['Wan Chai', 'Kwun Tong', 'Yau Tsim Mong']"
Cantonese,Yin Yue (Panda Hotel),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/YinYue%20Logo-color%20-%20fnb%20panda.png?itok=XIz8MzmB,http://www.diningdiscount.hk/en/restaurant/381,"30% off for the a la carte menu (Monday to Sunday)
Except all the Deluxe Dry Seafood & Deluxe Abalone items, fresh seafood and wine list","Offers are eligible for vaccinated customers.
Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers are available on a first-come-first-served basis while stocks last.
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.
10% service charge applies on dining offers and will be calculated based on original price if applicable.
Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.
In case of any disputes, the decision of the participating merchant shall remain final.",['Tsuen Wan']
Cantonese,Kimberley Chinese Restaurant  (The Kimberley Hotel),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-06/KCR%20Logo%20-%20Pur%20Kimberley.png?itok=1kUFLYbf,http://www.diningdiscount.hk/en/restaurant/382,"以下八款菜式每日輪流一款七折(詳情請向商戶查詢)
1. 脆皮花膠蝦籽扣柚皮
2.蟹皇蟹肉蝦腰乾煏銀絲
3.鴛鴦明蝦球
4.中式香醋黑豚豬柳
5.彩繡滑炒蝦絲
6.豉蒜尖椒爆炒黑豚肉
7. 漁夫豐收鍋貼蝦
8. 蟲草花上湯浸菜苗","Offers are eligible for vaccinated customers.
Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers are available on a first-come-first-served basis while stocks last.
Offers may not be valid on blackout dates of participating merchants if applicable. Please check with participating merchants for details.
Customers are required to quote the offers upon order/purchase at participating merchants in order to enjoy the offer.
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. 
Advance reservation is required if applicable and subject to seat availability. 10% service charge applies on dining offers and will be calculated based on original price if applicable.
Offers can only be redeemed once per eligible shopper per visit. 
Splitting of table or bill is not allowed for the purpose of enjoying the offers. In case of any disputes, the decision of the participating merchant shall remain final.  ",['Yau Tsim Mong']
Cantonese,Federal Banquet,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/Federal%20banquet.png?itok=Xb17dEEj,http://www.diningdiscount.hk/en/restaurant/68,指定套餐七折,"本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。","['Eastern', 'Wong Tai Sin']"
Cantonese,Golden Federal Restaurant   ,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/Golden%20Federal%20Restaurant.jpg?itok=ww62nbnZ,http://www.diningdiscount.hk/en/restaurant/69,指定套餐七折,"本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。",['Yau Tsim Mong']
Cantonese,Royal Plaza Chinese Restaurant,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-06/Hotel%20logo%20300x300%20-%20pp%20pp%20%281%29_0.png?itok=3eWz3Sg4,http://www.diningdiscount.hk/en/restaurant/372,"30% off for Special Romantic Mazieji Solemnization Package (Infinity Garden)
This offer is valid from Monday to Sunday","Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers are available on a first-come-first-served basis while stocks last., Customers are required to quote the offers upon order/purchase at participating merchants in order to enjoy the offer.
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.
10% service charge applies on dining offers and will be calculated based on original price if applicable.
Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.
In case of any disputes, the decision of the participating merchant shall remain final.
In case of any discrepancies of the offer terms and conditions between English and Chinese versions, English version shall prevail.",['Yau Tsim Mong']
Cantonese,Joy Club Restaurant,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/Logo%28CS%29_NewTagLine_Outline-202106_%E5%96%9C%E8%96%88%E6%B5%B7%E9%AE%AE%E9%85%92%E5%AE%B6%20-%20Woo%20Uta.png?itok=bpa-YE2s,http://www.diningdiscount.hk/en/restaurant/434,七折購買現金消費券,"本優惠適用於已接種疫苗之顧客。
本優惠將於2021年7月19日發售
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
如有任何爭議，參與商戶保留最終決定權。",['Yau Tsim Mong']
Cantonese,Ka Ho Restaurant,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-07/%E5%85%AC%E5%8F%B8LOGO.jpg?itok=JklaVdh4,http://www.diningdiscount.hk/en/restaurant/190,套餐七折  (售完即止),"本優惠適用於已接種疫苗的顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
如指定之優惠產品售完，參與商戶將提供其他等值或更高價值的優惠。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。","['Central and Western', 'Southern', 'Sham Shui Po', 'Kwun Tong']"
Cantonese,   Golden Lilies International Banquet Hall,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/Logo_%E6%96%B0%E7%89%88-%E9%99%A4%E7%99%BD%E5%BA%95%20-%20%E7%99%BE%E6%A8%82%E9%96%80%E5%9C%8B%E9%9A%9B%E5%AE%B4%E6%9C%83%E5%BB%B3.png?itok=9v24KmDk,http://www.diningdiscount.hk/en/restaurant/429,"提供全單七折,已接種疫苗的顧客","本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
如有任何爭議，參與商戶保留最終決定權。",['Kwun Tong']
Cantonese,HEE  KEE  FRIED CRAB EXPERT LTD,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/mmexport1624900793796%20-%20ye%20you%20zhen.jpg?itok=HGVCLDwQ,http://www.diningdiscount.hk/en/restaurant/435,惠顧避風塘炒辣蟹一隻7折優惠,"本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。如指定之優惠產品售完，參與商戶將提供其他等值或更高價值的優惠。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。",['Wan Chai']
Cantonese,Loong Yat Heen (Kowloon Hotel),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-06/The%20Kowloon%20Hotel_logo%20%28resized%29%20-%20Jojo%20P_0.png?itok=yQ555NIM,http://www.diningdiscount.hk/en/restaurant/369,30% discount off for food & beverage consumption on A-La-Carte menu during dinner period (Monday to Sunday),"Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers are available on a first-come-first-served basis while stocks last. Offers may not be valid on blackout dates of participating merchants if applicable. Please check with participating merchants for details.
Customers are required to quote the offers upon order/purchase at participating merchants in order to enjoy the offer.
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.
10% service charge applies on dining offers and will be calculated based on original price if applicable.
Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.
In case of any disputes, the decision of the participating merchant shall remain final.
In case of any discrepancies of the offer terms and conditions between English and Chinese versions, English version shall prevail.",['Yau Tsim Mong']
Cantonese,何明記麵家餐廳,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/%E4%BD%95%E6%98%8E%E8%A8%98_logo%20-%202021%20Dining%20Discount.jpg?itok=gEMWwdDJ,http://www.diningdiscount.hk/en/restaurant/409,指定食品7折,優惠數量有限，先到先得。 如有任何爭議，參與商戶保留最終決定權。,['Yuen Long']
Cantonese,TSUI WOO SEA FOOD RESTAURANT,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-07/%C3%A7%C2%BF%C2%A0%C3%A6%C2%B9_LOGO.jpg?itok=rFwMt592,http://www.diningdiscount.hk/en/restaurant/217,30% Discount in July ,優惠適用於已接種疫苗的顧客。,['Central and Western']
Cantonese,Majesty Chinese Restaurant,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/2021%E5%B9%B47%E6%9C%88%E9%87%91%E5%BE%A1LOGO%20-%20Man%20ying%20Yip.png?itok=k9N93VBL,http://www.diningdiscount.hk/en/restaurant/436,"提供晚市正價套餐,小菜.海鮮.燒味食品七折優惠予四人一枱,四人均已接種疫苗的顧客。","本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
如有任何爭議，參與商戶保留最終決定權。","['Wan Chai', 'Kowloon City', 'Yau Tsim Mong']"
